alpha_4,alpha_5,alpha_sum,alpha_diff,tau_p_years,w_0,theta_23_deg,m_KK_TeV,chi_squared
-8.5,-6.0,-14.5,-2.5,1.528646246496518e+35,-0.6521739130434783,37.5,52.021630116712025,1929.2313168469075
-8.5,-5.5,-14.0,-3.0,1.1411862265309886e+35,-0.6666666666666666,36.0,50.62114182829147,1782.3877045844356
-8.5,-5.0,-13.5,-3.5,8.365370576728484e+34,-0.68,34.5,49.307707308290055,1671.6037219055324
-8.5,-4.5,-13.0,-4.0,6.004225096426034e+34,-0.6923076923076923,33.0,48.08846015417836,1585.6825226721921
-8.5,-4.0,-12.5,-4.5,4.204669297777014e+34,-0.7037037037037037,31.5,46.97073557013984,1517.5945167949747
-8.5,-3.5,-12.0,-5.0,2.8599372623103418e+34,-0.7142857142857143,30.0,45.961940777125584,1463.077336793751
-8.5,-3.0,-11.5,-5.5,1.8784563182634937e+34,-0.7241379310344828,28.5,45.069390943299865,1419.6598576509532
-8.5,-2.5,-11.0,-6.0,1.1822423784986317e+34,-0.7333333333333333,27.0,44.30011286667337,1385.99467128073
-8.5,-2.0,-10.5,-6.5,7.05465986806433e+33,-0.7419354838709677,25.5,43.66062299143244,1361.412011004148
-8.5,-1.5,-10.0,-7.0,3.931697815453764e+33,-0.75,24.0,43.156691254080165,1345.6301173996758
-8.5,-1.0,-9.5,-7.5,2.001204288328265e+33,-0.7575757575757576,22.5,42.79310692155922,1338.5739077434587
-8.5,-0.5,-9.0,-8.0,8.978011464706634e+32,-0.7647058823529411,21.0,42.573465914816005,1340.2667072607528
-8.5,0.0,-8.5,-8.5,3.338445909878388e+32,-0.7714285714285715,19.5,42.5,1350.7696199065806
-8.5,0.5,-8.0,-9.0,9.115263254380093e+31,-0.7777777777777778,18.0,42.573465914816005,1370.1505594865876
-8.5,1.0,-7.5,-9.5,1.3578503151017122e+31,-0.7837837837837838,16.5,42.79310692155922,1398.4705717914273
-8.5,1.5,-7.0,-10.0,3.394520281663265e+29,-0.7894736842105263,15.0,43.156691254080165,1435.779273962644
-8.5,2.0,-6.5,-10.5,2.0723637867290417e+28,-0.7948717948717948,13.5,43.66062299143244,1482.1143401332554
-8.5,2.5,-6.0,-11.0,5.18360316444493e+30,-0.8,12.0,44.30011286667337,1537.50221958524
-8.5,3.0,-5.5,-11.5,4.751439824596313e+31,-0.8048780487804879,10.5,45.069390943299865,1601.9588768330057
-8.5,3.5,-5.0,-12.0,1.9345824921272873e+32,-0.8095238095238095,9.0,45.961940777125584,1675.4904431299628
-8.5,4.0,-4.5,-12.5,5.40287846977837e+32,-0.813953488372093,7.5,46.97073557013984,1758.0943867361468
-8.5,4.5,-4.0,-13.0,1.2125625946766455e+33,-0.8181818181818182,6.0,48.08846015417836,1849.7622422716363
-8.5,5.0,-3.5,-13.5,2.3589385682719297e+33,-0.8222222222222222,4.5,49.307707308290055,1950.4851655693979
-8.5,5.5,-3.0,-14.0,4.149293892342705e+33,-0.8260869565217391,3.0,50.62114182829147,2060.263660796029
-8.5,6.0,-2.5,-14.5,6.772137919245839e+33,-0.8297872340425532,1.5,52.021630116712025,2179.1228078831996
-8.5,6.5,-2.0,-15.0,1.043227594275018e+34,-0.8333333333333334,0.0,53.502336397581736,2307.134235016252
-8.5,7.0,-1.5,-15.5,1.5348704143222092e+34,-0.8367346938775511,-1.5,55.0567888638631,2444.445957876168
-8.5,7.5,-1.0,-16.0,2.17527120958677e+34,-0.84,-3.0,56.67892024377316,2591.32106197712
-8.5,8.0,-0.5,-16.5,2.9886172515967415e+34,-0.8431372549019608,-4.5,58.36308764964376,2748.1860488668935
-8.5,8.5,0.0,-17.0,4e+34,-0.8461538461538461,-6.0,60.10407640085653,2915.6895094468337
-8.5,9.0,0.5,-17.5,5.235276237922661e+34,-0.8490566037735849,-7.5,61.89709201569974,3094.7716338572454
-8.5,9.5,1.0,-18.0,6.720942995909986e+34,-0.8518518518518519,-9.0,63.73774391990981,3286.7449210450477
-8.5,10.0,1.5,-18.5,8.484024939692427e+34,-0.8545454545454545,-10.5,65.62202374203343,3493.3863147484726
-8.0,-10.0,-18.0,2.0,8.276636289306538e+35,-0.5,51.0,64.03124237432849,7180.185839988554
-8.0,-9.5,-17.5,1.5,6.694716823155015e+35,-0.5294117647058824,49.5,62.09871174187111,5430.2004463315625
-8.0,-9.0,-17.0,1.0,5.371802786773031e+35,-0.5555555555555556,48.0,60.20797289396148,4216.095490768237
-8.0,-8.5,-16.5,0.5,4.272118163492811e+35,-0.5789473684210527,46.5,58.36308764964376,3375.040823485318
-8.0,-8.0,-16.0,0.0,3.364111271903339e+35,-0.6,45.0,56.5685424949238,2791.0709250699397
-8.0,-7.5,-15.5,-0.5,2.619991600004919e+35,-0.6190476190476191,43.5,54.82928049865327,2382.510391438747
-8.0,-7.0,-15.0,-1.0,2.0153200939582397e+35,-0.6363636363636364,42.0,53.15072906367325,2092.5592672349476
-8.0,-6.5,-14.5,-1.5,1.528646246496518e+35,-0.6521739130434783,40.5,51.53882032022076,1882.2867707276096
-8.0,-6.0,-14.0,-2.0,1.1411862265309886e+35,-0.6666666666666666,39.0,49.99999999999999,1725.4539846400382
-8.0,-5.5,-13.5,-2.5,8.365370576728484e+34,-0.68,37.5,48.54121959736899,1604.719404315598
-8.0,-5.0,-13.0,-3.0,6.004225096426034e+34,-0.6923076923076923,36.0,47.16990566028301,1508.884572388616
-8.0,-4.5,-12.5,-3.5,4.204669297777014e+34,-0.7037037037037037,34.5,45.89389937671454,1430.9171158588138
-8.0,-4.0,-12.0,-4.0,2.8599372623103418e+34,-0.7142857142857143,33.0,44.721359549995796,1366.5505335429652
-8.0,-3.5,-11.5,-4.5,1.8784563182634937e+34,-0.7241379310344828,31.5,43.66062299143244,1313.3080813862234
-8.0,-3.0,-11.0,-5.0,1.1822423784986317e+34,-0.7333333333333333,30.0,42.720018726587654,1269.8351890512013
-8.0,-2.5,-10.5,-5.5,7.05465986806433e+33,-0.7419354838709677,28.5,41.907636535600524,1235.453436511224
-8.0,-2.0,-10.0,-6.0,3.931697815453764e+33,-0.75,27.0,41.23105625617661,1209.8711098881458
-8.0,-1.5,-9.5,-6.5,2.001204288328265e+33,-0.7575757575757576,25.5,40.697051490249265,1193.0022126156637
-8.0,-1.0,-9.0,-7.0,8.978011464706634e+32,-0.7647058823529411,24.0,40.311288741492746,1184.8586817140306
-8.0,-0.5,-8.5,-7.5,3.338445909878388e+32,-0.7714285714285715,22.5,40.078048854703496,1185.4903512057115
-8.0,0.0,-8.0,-8.0,9.115263254380093e+31,-0.7777777777777778,21.0,40.0,1194.9546220180757
-8.0,0.5,-7.5,-8.5,1.3578503151017122e+31,-0.7837837837837838,19.5,40.078048854703496,1213.3033911591342
-8.0,1.0,-7.0,-9.0,3.394520281663265e+29,-0.7894736842105263,18.0,40.311288741492746,1240.5789877818752
-8.0,1.5,-6.5,-9.5,2.0723637867290417e+28,-0.7948717948717948,16.5,40.697051490249265,1276.8139833897633
-8.0,2.0,-6.0,-10.0,5.18360316444493e+30,-0.8,15.0,41.23105625617661,1322.0320309429726
-8.0,2.5,-5.5,-10.5,4.751439824596313e+31,-0.8048780487804879,13.5,41.907636535600524,1376.248526075352
-8.0,3.0,-5.0,-11.0,1.9345824921272873e+32,-0.8095238095238095,12.0,42.720018726587654,1439.4710144079213
-8.0,3.5,-4.5,-11.5,5.40287846977837e+32,-0.813953488372093,10.5,43.66062299143244,1511.7000059190373
-8.0,4.0,-4.0,-12.0,1.2125625946766455e+33,-0.8181818181818182,9.0,44.721359549995796,1592.9312955946407
-8.0,4.5,-3.5,-12.5,2.3589385682719297e+33,-0.8222222222222222,7.5,45.89389937671454,1683.1611091930629
-8.0,5.0,-3.0,-13.0,4.149293892342705e+33,-0.8260869565217391,6.0,47.16990566028301,1782.395459720075
-8.0,5.5,-2.5,-13.5,6.772137919245839e+33,-0.8297872340425532,4.5,48.54121959736899,1890.665065739586
-8.0,6.0,-2.0,-14.0,1.043227594275018e+34,-0.8333333333333334,3.0,49.99999999999999,2008.047085202952
-8.0,6.5,-1.5,-14.5,1.5348704143222092e+34,-0.8367346938775511,1.5,51.53882032022076,2134.694784866201
-8.0,7.0,-1.0,-15.0,2.17527120958677e+34,-0.84,0.0,53.15072906367325,2270.87611346767
-8.0,7.5,-0.5,-15.5,2.9886172515967415e+34,-0.8431372549019608,-1.5,54.82928049865327,2417.0219881973408
-8.0,8.0,0.0,-16.0,4e+34,-0.8461538461538461,-3.0,56.5685424949238,2573.784945929464
