alpha_4,alpha_5,alpha_6,chi_squared
-3.5,4.0,0.5,536.9822658585476
-3.5,4.0,1.125,554.8932925204456
-3.5,4.0,1.75,2140.8570230053692
-3.5,4.0,2.375,20709.549454508568
-3.5,4.0,3.0,134118.0965818969
-3.5,4.5,0.5,614.4096089789019
-3.5,4.5,1.125,662.1686274441436
-3.5,4.5,1.75,3576.234261899232
-3.5,4.5,2.375,36992.552502425686
-3.5,4.5,3.0,240184.38774338615
-3.5,5.0,0.5,701.0861822360062
-3.5,5.0,1.125,802.9466553192951
-3.5,5.0,1.75,5936.30535569656
-3.5,5.0,2.375,63963.67607324548
-3.5,5.0,3.0,415710.2370500785
-3.0,-5.0,0.5,543.6401333478733
-3.0,-5.0,1.125,543.609776645533
-3.0,-5.0,1.75,543.4575344096726
-3.0,-5.0,2.375,543.028874197312
-3.0,-5.0,3.0,542.1441985904482
-3.0,-4.5,0.5,466.5091345293481
-3.0,-4.5,1.125,466.50441540010104
-3.0,-4.5,1.75,466.4806000080598
-3.0,-4.5,2.375,466.41214509865745
-3.0,-4.5,3.0,466.26341736284394
-3.0,-4.0,0.5,398.7912123039923
-3.0,-4.0,1.125,398.791089316787
-3.0,-4.0,1.75,398.79046796218336
-3.0,-4.0,2.375,398.7886754624101
-3.0,-4.0,3.0,398.7847472172134
-3.0,-3.5,0.5,340.3790386154885
-3.0,-3.5,1.125,340.3790307905268
-3.0,-3.5,1.75,340.3789912562394
-3.0,-3.5,2.375,340.37887719639434
-3.0,-3.5,3.0,340.3786271817984
-3.0,-3.0,0.5,291.13229829370806
-3.0,-3.0,1.125,291.13025893452675
-3.0,-3.0,1.75,291.11996048767236
-3.0,-3.0,2.375,291.09029600082755
-3.0,-3.0,3.0,291.02551905287856
-3.0,-2.5,0.5,250.86858509398536
-3.0,-2.5,1.125,250.84912258766389
-3.0,-2.5,1.75,250.75125549325236
-3.0,-2.5,2.375,250.47324120046636
-3.0,-2.5,3.0,249.8863992465583
-3.0,-2.0,0.5,219.35545057466518
-3.0,-2.0,1.125,219.2731182072983
-3.0,-2.0,1.75,218.86549791130548
-3.0,-2.0,2.375,217.76760838297048
-3.0,-2.0,3.0,215.76703743648534
-3.0,-1.5,0.5,196.30896421353788
-3.0,-1.5,1.125,196.07106878302505
-3.0,-1.5,1.75,194.93982506336914
-3.0,-1.5,2.375,192.3374611474756
-3.0,-1.5,3.0,190.06961908243085
-3.0,-1.0,0.5,181.40836371850082
-3.0,-1.0,1.125,180.860028083163
-3.0,-1.0,1.75,178.4759646737179
-3.0,-1.0,2.375,175.21240975933148
-3.0,-1.0,3.0,186.84037655229804
-3.0,-0.5,0.5,174.33766655154903
-3.0,-0.5,1.125,173.25496109742932
-3.0,-0.5,1.75,169.37098929132617
-3.0,-0.5,2.375,173.00751159462686
-3.0,-0.5,3.0,258.09702791867323
-3.0,0.0,0.5,174.85483113969335
-3.0,0.0,1.125,172.95677964265087
-3.0,0.0,1.75,168.69104553453903
-3.0,0.0,2.375,206.19901112746177
-3.0,0.0,3.0,547.249438596409
-3.0,0.5,0.5,182.86386652406938
-3.0,0.5,1.125,179.86144529884464
-3.0,0.5,1.75,180.0749541691538
-3.0,0.5,2.375,324.62638559591346
-3.0,0.5,3.0,1389.3538620921759
-3.0,1.0,0.5,198.4465803921022
-3.0,1.0,1.125,194.15709462257706
-3.0,1.0,1.75,212.07724715512484
-3.0,1.0,2.375,634.2392492835093
-3.0,1.0,3.0,3484.4848778951896
-3.0,1.5,0.5,221.83086299805746
-3.0,1.5,1.125,216.40007023127959
-3.0,1.5,1.75,281.908218558539
-3.0,1.5,2.375,1340.5987857480284
-3.0,1.5,3.0,8180.062885419224
-3.0,2.0,0.5,253.31865663916383
-3.0,2.0,1.125,247.6116544209321
-3.0,2.0,1.75,421.2348941414647
-3.0,2.0,2.375,2816.5319578750377
-3.0,2.0,3.0,17909.9620953989
-3.0,2.5,0.5,293.2169710265063
-3.0,2.5,1.125,289.46331926423693
-3.0,2.5,1.75,684.9264528588872
-3.0,2.5,2.375,5703.6520644296725
-3.0,2.5,3.0,36853.119620015896
-3.0,3.0,0.5,341.79660242243136
-3.0,3.0,1.125,344.60680578924075
-3.0,3.0,1.75,1163.8562337700876
-3.0,3.0,2.375,11060.286716237102
-3.0,3.0,3.0,71892.79486631132
-3.0,3.5,0.5,399.2780344958718
-3.0,3.5,1.125,417.1890611577698
-3.0,3.5,1.75,2003.152791642693
-3.0,3.5,2.375,20571.845223145894
-3.0,3.5,3.0,133980.39235053424
-3.0,4.0,0.5,465.8337299300334
-3.0,4.0,1.125,513.5927483952751
-3.0,4.0,1.75,3427.658382850363
-3.0,4.0,2.375,36843.97662337682
-3.0,4.0,3.0,240035.81186433727
-3.0,4.5,0.5,541.5973318394551
-3.0,4.5,1.125,643.4578049227441
-3.0,4.5,1.75,5776.816505300008
-3.0,4.5,2.375,63804.18722284893
-3.0,4.5,3.0,415550.7481996819
-3.0,5.0,0.5,626.6345375582528
-3.0,5.0,1.125,821.0202487256456
-3.0,5.0,1.75,9551.740244185667
-3.0,5.0,2.375,107244.06344334802
-3.0,5.0,3.0,698103.5378619671
-2.5,-5.0,0.5,497.90845118912716
-2.5,-5.0,1.125,497.9037320598801
-2.5,-5.0,1.75,497.87991666783887
-2.5,-5.0,2.375,497.81146175843645
-2.5,-5.0,3.0,497.662734022623
-2.5,-4.5,0.5,420.3762978654212
-2.5,-4.5,1.125,420.3761748782158
-2.5,-4.5,1.75,420.3755535236122
-2.5,-4.5,2.375,420.3737610238389
-2.5,-4.5,3.0,420.36983277864226
-2.5,-4.0,0.5,352.3305343374873
-2.5,-4.0,1.125,352.3305265125256
-2.5,-4.0,1.75,352.3304869782381
-2.5,-4.0,2.375,352.3303729183931
-2.5,-4.0,3.0,352.33012290379713
-2.5,-3.5,0.5,293.6729447676524
-2.5,-3.5,1.125,293.67090540847107
-2.5,-3.5,1.75,293.6606069616167
-2.5,-3.5,2.375,293.6309424747718
-2.5,-3.5,3.0,293.56616552682283
-2.5,-3.0,0.5,244.26858509398534
-2.5,-3.0,1.125,244.24912258766386
-2.5,-3.0,1.75,244.15125549325234
-2.5,-3.0,2.375,243.8732412004664
-2.5,-3.0,3.0,243.28639924655835
-2.5,-2.5,0.5,203.93092823677455
-2.5,-2.5,1.125,203.84859586940766
-2.5,-2.5,1.75,203.44097557341487
-2.5,-2.5,2.375,202.34308604507987
-2.5,-2.5,3.0,200.34251509859473
-2.5,-2.0,0.5,172.40381002070256
-2.5,-2.0,1.125,172.16591459018971
-2.5,-2.0,1.75,171.03467087053383
-2.5,-2.0,2.375,168.4323069546403
-2.5,-2.0,3.0,166.1644648895955
-2.5,-1.5,0.5,149.34541081900835
-2.5,-1.5,1.125,148.79707518367053
-2.5,-1.5,1.75,146.41301177422542
