alpha_4,alpha_5,alpha_sum,alpha_diff,M_GUT_GeV,1/alpha_GUT,tau_p_years,tau_p_uncertainty_OOM,w_0,theta_23_deg,m_KK_TeV,chi_squared
-0.6,0.30000000000000004,-0.29999999999999993,-0.9,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,42.3,3.3541019666223626,20.82555773403095
-0.6,0.40000000000000013,-0.19999999999999984,-1.0,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,42.0,3.605551275810677,19.803984254898136
-0.6,0.5,-0.09999999999999998,-1.1,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,41.7,3.9051248382734194,18.93052148140333
-0.6,0.6000000000000001,1.1102230246251565e-16,-1.2000000000000002,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,41.4,4.242640687413913,18.27296142757409
-0.6,0.7000000000000002,0.1000000000000002,-1.3000000000000003,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,41.1,4.609772228917607,17.890152041593144
-0.6,0.8,0.20000000000000007,-1.4,1.854e+16,24.58,4.538741449630566e+34,0.768,-0.8473282442748091,40.8,5.00000000025,17.83236497863129
-0.6,0.9000000000000001,0.30000000000000016,-1.5,1.881e+16,24.53,4.828590409176937e+34,0.752,-0.8479087452471483,40.5,5.40832691342711,18.14297095567237
-0.6,1.0,0.4,-1.6,1.908e+16,24.48,5.132759744387202e+34,0.736,-0.8484848484848485,40.2,5.830951895059674,18.86035102835741
-0.5,-1.0,-1.5,0.5,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,46.5,5.590169943973081,34.142315805104694
-0.5,-0.9,-1.4,0.4,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,46.2,5.147815070736321,32.21849029987468
-0.5,-0.8,-1.3,0.30000000000000004,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,45.9,4.716990566293301,30.571359393433493
-0.5,-0.7,-1.2,0.19999999999999996,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,45.6,4.301162633811932,29.184497006394604
-0.5,-0.6,-1.1,0.09999999999999998,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,45.3,3.9051248382734194,28.034620144507723
-0.5,-0.5,-1.0,0.0,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,45.0,3.5355339062862914,27.088686879085905
-0.5,-0.3999999999999999,-0.8999999999999999,-0.10000000000000009,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,44.7,3.2015621191068586,26.300356500552088
-0.5,-0.29999999999999993,-0.7999999999999999,-0.20000000000000007,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,44.4,2.9154759478513963,25.60685898522621
